company,details,slide_type,description,use_case,industry,tags,image_link,image_id
Accenture ,Transforming the Industry that transformed the World: 02 Expand industry boundaries,Table,"Graphs, data matrix, and a strong purple and white color theme.",Strategic Planning,Technology & Software,"['Table', 'Heatmap']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027c7e11e40256b2bd7338_bOw_uQykpbUftRcfu4g_r38zycrqtSjPh7Gi0---buE.avif,slide-514.jpg
Deloitte ,"Remote work: Setting the right strategy The Dbriefs Global Mobility, Talent & Rewards series",Diagram,"Circular diagram with multiple sections around a central concept of remote work, highlighting different aspects like tax compliance, data technology, and workforce strategies.",Strategic Planning,Professional Services,"['Bullet points', 'Icon', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b47461b036d2f3dc5a1be_nWSLSiaDgeVXzfx2ZSHCwM_inUAhx6TjLZMoHTncuLo.avif,slide-515.jpg
Accenture ,Transforming the Industry that transformed the World: 02 Expand industry boundaries,Multiple Chart,"Demographics infographic, statistical representations, and a purple and white theme.",Industry Overview,Technology & Software,"['Icon', 'Bar chart', 'Map']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027c8dabcd9096d1eff14a_gfj51MLAbI-AGYC57GWNWffMvMwox84HfyR8SfmJZ50.avif,slide-516.jpg
EY ,Future Workplace Index 2.0,Title,"Engaging workplace setting with screens displaying virtual participants, yellow accents.",Strategic Planning,Technology & Software,['Picture'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027c9570edf4abbdca70b0_fAiWqF2j8oEJ_TQGCnqQZ3_SdLKWkg-hGe-vjqcSNNY.avif,slide-517.jpg
Deloitte ,Nearshoring in Central America,Diagram,"Diagram with a map of Central America and icons representing various benefits of nearshoring, such as growth in value chains and productivity.",Market Analysis and Trends,Transportation & Logistics,"['Map', 'Icon', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b47496b7777f9a87e4f94_l9wxDEazaIRJERYTdz_MTyl5lFp04m-RJGJhow9xkOQ.avif,slide-518.jpg
Deloitte ,Nearshoring in Central America,Graphic,"Simple agenda slide with a dark background, listing the main topics covered in the presentation with numbered points.",Strategic Planning,Professional Services,"['List', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b474c45c7d57130f77b10_CBATpEFA3_48JF6V9qR0d_WAQ632qp2rD_LR9-Onen8.avif,slide-519.jpg
EY ,Future Workplace Index 2.0,Agenda,High contrast text overlay on a dynamic office imagery background with accent highlights.,Market Analysis and Trends,Technology & Software,"['Picture', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027cad82dc1fcdf22af307_9KSSry_fTNp5ukM2Pn36odOjXmJtvaFyUCf5vXUGrPU.avif,slide-520.jpg
Deloitte ,Nearshoring in Central America,Single Chart,"Line chart showing the share of US imports from Central America and other regions over time, with key events marked along the timeline.",Market Analysis and Trends,Transportation & Logistics,['Line Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b474f0aa6f47a9dbb9fbd_Lh3BUlGr_nGR7rFUBcXFvPKKAGDvqTtiCtt51d3C9t0.avif,slide-521.jpg
Deloitte ,Nearshoring in Central America,Single Chart,"Line chart detailing the share of US imports from individual Central American countries, with key events marked on the timeline.",Market Analysis and Trends,Transportation & Logistics,['Line Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b4753356b2e539a0d0431_qY5OGOuuoGcpoXaQgHjnRX2HN0et7h1HitXTMltrVVA.avif,slide-522.jpg
EY ,Future Workplace Index 2.0,Boxed,"Featuring bold color blocks and clear statistical highlights, the slide offers a snapshot of economic indicators. The layout is segmented to draw attention to key metrics like unemployment rates, GDP growth, and inflation, all of which are crucial for assessing real estate investment risks.",Risk Assessment and Management,Real Estate & Construction,['Table'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027ccfc5aaa37cc46f17d8_7oYpn_rwxUnDb7U2CFTqwzsi_-9u9RLgWnGwTJQob2E.avif,slide-523.jpg
EY ,Future Workplace Index 2.0,Single Chart,"This slide displays a large, central pie chart with vibrant colors, surrounded by smaller high-quality images of buildings. The chart highlights the proportion of companies planning to invest in real estate despite market volatility, which is visually emphasized by the use of contrasting colors.",Investment Analysis,Real Estate & Construction,['Pie Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027cd628633b93b33e35dc_x8N6raHdyXejZ8L1FxN5dPhiQOyTk0IBSVglhnxOP4Q.avif,slide-524.jpg
Deloitte ,Nearshoring in Central America,Single Chart,"A pie chart showing the share of total imports from Costa Rica to the US by product type. The chart uses different colors for each segment, with highlighted sections for significant variations.",Market Analysis and Trends,Transportation & Logistics,"['Pie Chart', 'Takeaway Box']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b475a34132a2e013325ac_FGVJIN8IZh5zfCTL9CMF5le-2ec8n4NS6sVvmdPegkU.avif,slide-525.jpg
EY ,Future Workplace Index 2.0,Text Only,"The slide presents an analysis of hybrid work models with a multi-segmented layout, featuring both text descriptions and colored blocks. Statistics are highlighted to draw focus, and a monochrome image of a casual office interaction serves as a backdrop, signifying the evolving work environment.",Human Resources and Talent Management,Professional Services,"['Paragraph', 'Picture']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027ce57f9e8c203a8e3c7b_k4F7WV-bKyekUnnt1TQc3RX8ePkSacA7FRQufpkBGKA.avif,slide-526.jpg
EY ,Future Workplace Index 2.0,Single Chart,"A pie chart dominates this slide, showing the percentage of employees in offices pre-pandemic. A subdued image in the background depicts two individuals in a work setting, adding contextual relevance. The chart's colors correspond to the legend, aiding in data interpretation and visual appeal.",Organizational Structure and Change,Professional Services,['Pie Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027cec06d2249328c9baca_rqpEq0szaqFe6VLHtq6diYIvrRq1IEffKN6B-bQTm7M.avif,slide-527.jpg
EY ,Future Workplace Index 2.0,Single Chart,"The slide is designed with a central pie chart that contrasts sharply with the background image of a modern, airy office space. The chart's sections are clearly delineated, using varying shades to differentiate between different work location approaches, and the background image adds depth to the visual narrative.",Technology and Digital Transformation,Professional Services,['Pie Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027cf31c0d17eafbd968b9__5nCrSkbgr1yC-fQx8fTPaYuxzVUrR7mAI2oo13022s.avif,slide-528.jpg
EY ,Future Workplace Index 2.0,Single Chart,"The slide illustrates company approaches to office attendance with three different sized circles, each representing a percentage of companies. The color coding matches the legend, making it clear and easy to understand. The minimalist design focuses on the data, free from any distracting visual elements.",Human Resources and Talent Management,Professional Services,['Pie Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027cfb87898f47a9bb8abe_WiTBlCZdWEIwyHQNDo7wu02WJvrg1ZoNUQ9uFDDvR-w.avif,slide-529.jpg
EY ,Future Workplace Index 2.0,Single Chart,"A bar graph slide with horizontal bars of varying lengths indicating levels of focus on different types of work and collaboration. The background is clean, allowing the graph and the descriptive text on the left to stand out. The use of grayscale with selective yellow highlights creates visual interest.",Organizational Structure and Change,Professional Services,['Bar chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027d0316e9c495d4ee6ac2_kPyUZivzlF8G4js7Pc55j6-fJcjH-wHi-Jjb_jImk5U.avif,slide-530.jpg
Deloitte ,Nearshoring in Central America,Single Chart,"A line chart depicting the annual variation of FDI in Central America from 2015 to 2022, with notable events marked along the timeline. The chart uses a single blue line on a black background.",Investment Analysis,Financial Services,['Line Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b475fd433ddd0fd4e775f_b_RViA8coH00ve9V-VT26e1mqjYv8NDDqnvdw3zsScY.avif,slide-531.jpg
Deloitte ,Nearshoring in Central America,Single Chart,A multi-line chart showing FDI variations across several Central American countries from 2015 to 2022. Each country is represented by a different color.,Investment Analysis,Financial Services,"['Line Chart', 'Callouts']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b476a5fc0ec217b750036_BHrdsaszqCe2erQctrwtFHnljcoxCl8sqVYt277UJQ8.avif,slide-532.jpg
EY ,Future Workplace Index 2.0,Single Chart,The slide features a bar chart with horizontal bars of different shades of blue indicating various strategic work models.,Market Analysis and Trends,Professional Services,['Bar chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027d1916e9c495d4ee8c1d_9ZWpIopc9RAJiXjX3N8uP6A8R1waNAwnGgMlTyf0S4k.avif,slide-533.jpg
EY ,Future Workplace Index 2.0,Single Chart,"The slide showcases a bar graph with strategies being adopted post-pandemic, ranging from enclosed to open workspaces. Darker bars indicate a greater number of spaces, lighter bars represent fewer spaces, and a yellow line signifies uncertainty.",Strategic Planning,Professional Services,['Bar chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027d20491923e58d484db4_W-MZwk5TzZXQC941yT1BAyrNczB4H20jCOnzQVJcDUg.avif,slide-534.jpg
EY ,Future Workplace Index 2.0,Single Chart,"A vibrant, color-coded infographic slide details incentives offered by companies to promote office collaboration. It provides quantitative data on various programs through large percentage figures.",Organizational Structure and Change,Professional Services,['Mekko Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027d2816e9c495d4ee9c78_E6LP62BKLzm1JjizsBYxYE7oLMBvHDqb12rxzySLNew.avif,slide-535.jpg
Deloitte ,Nearshoring in Central America,Multiple Chart,Two donut charts side by side comparing the share of FDI in Central America from the USA between 2021 and 2022. Each segment is color-coded.,Investment Analysis,Financial Services,['Pie Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b476d98e4de18ee9099fa_X1HWX7OFS7ZxqRq9euhz2TRcUkIRxUJY_crHJQD6zH0.avif,slide-536.jpg
Deloitte ,Nearshoring in Central America,Multiple Chart,"A tree map and a donut chart depicting the main export products and destinations from Central America. The tree map uses different colors for each product, while the donut chart shows export destinations.",Market Analysis and Trends,Transportation & Logistics,"['Pie Chart', 'Mekko Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b4770fc284283f7cbda54_YqzCWohhFGsCNA0FK6siKu7wW3Mw2lsZzCKoojclNhM.avif,slide-537.jpg
EY ,Future Workplace Index 2.0,Single Chart,The slide shows a stacked bar graph comparing the office dependency of various industries. The green shades represent different work models from fully remote to fully office-based.,Market Analysis and Trends,Professional Services,['Bar chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027d3eba8ca6e85fb67085_NNj3XITNioFY6MWzZnFBtctbPihZ6rqeLdtIzc4oP5E.avif,slide-538.jpg
EY ,Future Workplace Index 2.0,Multiple Chart,A slide featuring pie charts that correlate company size with preferred work environment options. It uses a simple color code to differentiate between the types of work environments.,Performance Metrics and KPIs,Professional Services,['Pie Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027d45c9d4322059e1be39_fR0GlEy3sQLXtH6kOMEZq0HMLQ537n2FI0OW9FSlZ40.avif,slide-539.jpg
Deloitte ,Nearshoring in Central America,Linear Flow,A horizontal layout showing key export products of various Central American countries. Each product is listed under the respective country’s flag and accompanied by percentage data.,Market Analysis and Trends,Industrial & Manufacturing,['Icon'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b477445c7d57130f7aba2_LvaHJq-oXPFYvYHcHJIzZo-Y4tz5YEXaOIMEKzU4bJw.avif,slide-540.jpg
EY ,Future Workplace Index 2.0,Pillar,"Balanced layout with title, bullet points, and icons for productivity improvements. Neutral color palette with accent colors.",Technology and Digital Transformation,Professional Services,"['Paragraph', 'Icon', 'Picture']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027d5428633b93b33ec61e_ojZwHXvkBK0mECK-qzwQD8SWZ3QLg1aBt3qb5CWGA0E.avif,slide-541.jpg
EY ,Future Workplace Index 2.0,Header Horizontal,"Structured layout with three sections, bulleted lists of digital innovations, and images of diverse working settings.",Technology and Digital Transformation,Professional Services,"['Picture', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027d5b54b953553bbbb25e_n3olPOdpPKmxoYjWbR_0F9kNi4kabgDlvoRXeJMgLiU.avif,slide-542.jpg
EY ,Future Workplace Index 2.0,Single Chart,Graphical layout with bar charts comparing technology in use and deployment across various domains.,Technology and Digital Transformation,Technology & Software,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027d6354ad6465f8c533bc_TmuXp_Ocv80e9CHlX-hqZtP6x6HqHxzkma-oiwY0x2k.avif,slide-543.jpg
Deloitte ,Nearshoring in Central America,Diagram,"An infographic detailing the various incentives for semiconductor manufacturing in the US, including manufacturing, development, tax incentives, and international tech security.",Strategic Planning,Technology & Software,"['Icon', 'Bullet points', 'Takeaway Box', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b47770aa6f47a9dbbc8a9_O_6pxAOK8u4OzFO9bAd2k6VbXMDM6TSKvq_FQKrioKg.avif,slide-544.jpg
Deloitte ,Nearshoring in Central America,Diagram,"A flow diagram illustrating the semiconductor value chain from design to final product, including stages like manufacturing and assembly. Each stage is visually separated and described.",Technology and Digital Transformation,Technology & Software,"['Callouts', 'Icon', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b477bf9fd6da5c74d6883_tAUWIVMk0kHWB9_odurHJQ_KW879lVc4LXB5S2Vt-3s.avif,slide-545.jpg
Deloitte ,Nearshoring in Central America,Graphic,"A map highlighting Central American countries with icons indicating their roles in the semiconductor production value chain, such as assembly and test or manufacturing equipment.",Human Resources and Talent Management,Education & Training,"['Icon', 'Heatmap']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b477e702e07aee7bd744d_ruMDXfLgCbr4HPq4qjs3Y2OU6GHIXJUl2lijNtKcyls.avif,slide-546.jpg
